Player,Country,Date_of_birth,Hand,Total_wins,Wins_percent,AVG_rank,VAR_rank,Clay_wins,Clay_wins_percent,Grass_wins,Grass_wins_percent,Hard_wins,Hard_wins_percent,Carpet_wins,Carpet_wins_percent,International_nmatches,Grand Slam_nmatches,International Gold_nmatches,Masters_nmatches,ATP250_nmatches,ATP500_nmatches,Masters 1000_nmatches,Masters Cup_nmatches,International Gold_nwins,ATP250_nwins,ATP500_nwins,Grand Slam_nwins,International_nwins,Masters_nwins,Masters 1000_nwins,Masters Cup_nwins,flag_url
Coric B.,CRO,1996-11-14,R,192,52.31607629427793,52.47138964577657,3616.6269114515862,59,54.12844036697248,11,45.83333333333333,122,52.13675213675214,0,NA,NA,63,NA,NA,111,67,126,NA,0,57,38,30,0,0,67,0,https://flagcdn.com/w320/hr.png
Setkic A.,BIH,1987-12-21,R,0,0,198.66666666666663,906.3333333333334,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/ba.png
Novak D.,CZE,1983-02-22,L,15,25.86206896551724,141.51724137931035,5593.131276467029,5,27.77777777777778,3,37.5,7,21.875,0,NA,NA,14,NA,NA,33,11,NA,NA,0,9,3,3,0,0,0,0,https://flagcdn.com/w320/cz.png
Peliwo F.,POL,1994-01-30,R,1,20,336.6,12653.8,1,50,0,NA,0,0,0,NA,NA,NA,NA,NA,2,1,2,NA,0,1,0,0,0,0,0,0,https://flagcdn.com/w320/pl.png
Bogaerts R.,BEL,1993-12-23,NA,0,0,1149,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/be.png
Herbert P.H.,FRA,1991-03-18,R,89,43.203883495145625,88.11650485436893,2312.298555529245,16,40,12,42.857142857142854,61,44.20289855072464,0,NA,NA,41,NA,NA,104,25,36,NA,0,51,11,15,0,0,12,0,https://flagcdn.com/w320/fr.png
Fucsovics M.,HUN,1992-02-08,R,135,48.73646209386281,68.88447653429603,4688.522837859049,38,48.717948717948715,15,50,82,48.5207100591716,0,NA,NA,56,NA,NA,117,47,57,NA,0,59,25,27,0,0,24,0,https://flagcdn.com/w320/hu.png
Vesely J.,CZE,1993-07-10,L,131,47.122302158273385,79.39568345323741,4284.629872996909,52,48.148148148148145,23,60.526315789473685,56,42.42424242424242,0,NA,NA,63,NA,NA,149,33,33,NA,0,77,15,27,0,0,12,0,https://flagcdn.com/w320/cz.png
Karatsev A.,RUS,1993-09-04,R,76,48.10126582278481,60.75949367088607,2704.718858340724,22,48.888888888888886,4,36.36363636363637,50,49.01960784313725,0,NA,NA,26,NA,NA,69,25,38,NA,0,33,12,14,0,0,17,0,https://flagcdn.com/w320/ru.png
Inglot D.,GBR,1986-03-06,R,0,0,941,NA,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/gb.png
Biryukov M.,RUS,1992-04-28,R,0,0,733,357858,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/ru.png
Djere L.,SRB,1995-06-02,R,129,48.31460674157304,66.56554307116104,2139.592492467123,81,57.446808510638306,6,30,42,39.62264150943396,0,NA,NA,40,NA,NA,167,21,39,NA,0,96,7,13,0,0,13,0,https://flagcdn.com/w320/rs.png
Khachanov K.,RUS,1996-05-21,R,257,57.36607142857143,35.36607142857143,5033.029002876318,66,57.89473684210527,22,59.45945945945946,169,56.9023569023569,0,NA,NA,91,NA,NA,126,96,135,NA,0,74,49,60,0,0,74,0,https://flagcdn.com/w320/ru.png
Langer N.,GER,1990-01-25,R,1,33.33333333333333,319.3333333333333,320.3333333333333,1,50,0,NA,0,0,0,NA,NA,NA,NA,NA,3,NA,NA,NA,0,1,0,0,0,0,0,0,https://flagcdn.com/w320/de.png
Mecir M.,SVK,1964-05-19,R,1,25,219.5,656.3333333333334,0,0,0,NA,1,33.33333333333333,0,NA,NA,1,NA,NA,3,NA,NA,NA,0,1,0,0,0,0,0,0,https://flagcdn.com/w320/sk.png
Nedovyesov A.,KAZ,1987-02-15,R,4,21.052631578947366,97.63157894736842,243.9122807017544,2,22.22222222222222,0,0,2,25,0,NA,NA,7,NA,NA,10,1,1,NA,0,2,0,2,0,0,0,0,https://flagcdn.com/w320/kz.png
Kokkinakis T.,AUS,1996-04-10,R,70,46.35761589403973,162.3708609271523,24430.461545253864,8,38.095238095238095,5,45.45454545454545,57,47.89915966386555,0,NA,NA,35,NA,NA,64,14,38,NA,0,31,7,16,0,0,16,0,https://flagcdn.com/w320/au.png
Kyrgios N.,AUS,1995-04-27,R,186,66.66666666666666,43.24014336917563,1451.068023000954,25,59.523809523809526,32,68.08510638297872,129,67.89473684210526,0,NA,NA,82,NA,NA,60,54,83,NA,0,39,42,54,0,0,51,0,https://flagcdn.com/w320/au.png
Dzumhur D.,BIH,1992-05-20,R,101,44.888888888888886,74.96888888888888,1428.342777777778,24,42.10526315789473,10,58.82352941176471,67,44.370860927152314,0,NA,NA,41,NA,NA,125,26,33,NA,0,66,9,14,0,0,12,0,https://flagcdn.com/w320/ba.png
Gonzalez A.,COL,1989-02-07,R,10,22.727272727272727,95.77272727272728,557.6215644820296,5,22.727272727272727,0,0,5,25,0,NA,NA,9,NA,NA,22,4,9,NA,0,4,0,3,0,0,3,0,https://flagcdn.com/w320/co.png
Daniel T.,JPN,1993-01-27,R,75,34.883720930232556,102.1813953488372,725.7192784177353,34,40.963855421686745,0,0,41,33.60655737704918,0,NA,NA,36,NA,NA,121,29,29,NA,0,50,7,6,0,0,12,0,https://flagcdn.com/w320/jp.png
Lama G.,CHI,1993-04-27,R,0,0,404.75,32382.916666666668,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/cl.png
Hank T.,MEX,1991-09-30,L,0,0,553,10147,0,NA,0,NA,0,0,0,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/mx.png
Smith J.P.,AUS,1989-01-24,L,5,18.51851851851852,193.2962962962963,2873.678062678063,0,NA,4,44.44444444444444,1,5.555555555555555,0,NA,NA,6,NA,NA,18,1,2,NA,0,5,0,0,0,0,0,0,https://flagcdn.com/w320/au.png
Khaddari H.,MAR,1991-08-19,R,0,0,513,NA,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/ma.png
Arguello F.,ARG,1992-08-04,R,1,6.25,143.375,837.1833333333333,1,6.666666666666667,0,0,0,NA,0,NA,NA,2,NA,NA,12,2,NA,NA,0,1,0,0,0,0,0,0,https://flagcdn.com/w320/ar.png
Albot R.,MDA,1989-11-11,R,86,38.73873873873874,93.02702702702705,1086.06261465085,20,35.08771929824561,8,33.33333333333333,58,41.13475177304964,0,NA,NA,45,NA,NA,134,17,26,NA,0,56,5,15,0,0,10,0,https://flagcdn.com/w320/md.png
Travaglia S.,ITA,1991-12-28,R,25,32.467532467532465,110.62337662337664,12476.922077922078,10,37.03703703703704,1,16.666666666666664,14,31.818181818181817,0,NA,NA,18,NA,NA,48,2,9,NA,0,18,0,4,0,0,3,0,https://flagcdn.com/w320/it.png
Cecchinato M.,ITA,1992-09-30,R,74,37,82.92,4659.79256281407,62,45.92592592592592,2,18.181818181818183,10,18.51851851851852,0,NA,NA,33,NA,NA,118,15,34,NA,0,52,1,10,0,0,11,0,https://flagcdn.com/w320/it.png
Milojevic N.,SRB,1995-06-19,R,6,42.857142857142854,205.8571428571429,25367.67032967033,4,50,0,NA,2,33.33333333333333,0,NA,NA,3,NA,NA,11,NA,NA,NA,0,5,0,1,0,0,0,0,https://flagcdn.com/w320/rs.png
Delic M.,CRO,1993-09-29,R,2,20,227.3,4710.677777777778,2,25,0,NA,0,0,0,NA,NA,NA,NA,NA,9,1,NA,NA,0,2,0,0,0,0,0,0,https://flagcdn.com/w320/hr.png
Kubler J.,AUS,1993-05-19,R,22,42.30769230769231,113.48076923076924,4332.097662141779,7,50,7,53.84615384615385,8,32,0,NA,NA,20,NA,NA,23,3,6,NA,0,10,1,9,0,0,2,0,https://flagcdn.com/w320/au.png
Michon A.,FRA,1990-12-16,L,1,50,206,0,1,50,0,NA,0,NA,0,NA,NA,2,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,https://flagcdn.com/w320/fr.png
Pavic M.,CRO,1993-07-04,L,3,27.27272727272727,522.1818181818181,38758.163636363635,1,20,2,40,0,0,0,NA,NA,NA,NA,NA,11,NA,NA,NA,0,3,0,0,0,0,0,0,https://flagcdn.com/w320/hr.png
Rola B.,SLO,1990-10-05,L,8,32,110.72,1413.2933333333333,4,36.36363636363637,1,25,3,30,0,NA,NA,8,NA,NA,13,3,1,NA,0,5,1,2,0,0,0,0,https://flagcdn.com/w320/si.png
Coppejans K.,BEL,1994-02-07,R,1,7.6923076923076925,171.3846153846154,1004.4230769230768,0,0,0,0,1,14.285714285714285,0,NA,NA,4,NA,NA,9,NA,NA,NA,0,1,0,0,0,0,0,0,https://flagcdn.com/w320/be.png
Smethurst D.,GBR,1990-10-13,R,0,0,234,NA,0,NA,0,0,0,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/gb.png
Puetz T.,GER,1987-11-19,R,1,33.33333333333333,228.33333333333337,1541.3333333333333,0,NA,1,50,0,0,0,NA,NA,3,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,https://flagcdn.com/w320/de.png
Eriksson M.,SWE,1989-11-29,R,0,0,462.75,4960.916666666667,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/se.png
Olivo R.,ARG,1992-03-15,R,22,40.74074074074074,152.24074074074073,4381.242837176799,20,44.44444444444444,0,0,2,25,0,NA,NA,6,NA,NA,37,7,4,NA,0,17,3,2,0,0,0,0,https://flagcdn.com/w320/ar.png
Thompson C.,USA,1992-05-04,R,0,0,2159,NA,0,NA,0,0,0,NA,0,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/us.png
Zverev A.,GER,1997-04-20,R,428,70.27914614121511,23.41379310344828,4431.647572595281,142,73.19587628865979,38,65.51724137931035,248,69.46778711484593,0,NA,NA,140,NA,NA,107,134,202,26,0,75,91,105,0,0,141,16,https://flagcdn.com/w320/de.png
Londero J.I.,ARG,1993-08-15,R,34,40.963855421686745,88.6987951807229,3722.7252424331473,29,47.540983606557376,1,25,4,22.22222222222222,0,NA,NA,16,NA,NA,53,9,5,NA,0,25,2,6,0,0,1,0,https://flagcdn.com/w320/ar.png
Diez S.,CAN,1991-03-17,R,1,12.5,228,2203.1428571428573,0,0,0,NA,1,33.33333333333333,0,NA,NA,1,NA,NA,4,1,2,NA,0,0,0,0,0,0,1,0,https://flagcdn.com/w320/ca.png
Tiafoe F.,USA,1998-01-20,R,192,51.891891891891895,49.51891891891892,4900.781483922948,34,47.88732394366197,23,57.49999999999999,135,52.12355212355211,0,NA,NA,81,NA,NA,125,68,96,NA,0,66,33,46,0,0,47,0,https://flagcdn.com/w320/us.png
Schnur B.,CAN,1995-07-04,R,3,16.666666666666664,179.94444444444446,15098.17320261438,0,NA,0,0,3,20,0,NA,NA,2,NA,NA,11,1,4,NA,0,3,0,0,0,0,0,0,https://flagcdn.com/w320/ca.png
Buchanan C.,USA,1991-06-04,R,0,0,546,279752,0,NA,0,NA,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://flagcdn.com/w320/us.png
